Jan  5 00:13:30 c.mx.h2.net sm-mta[8667]: jB88DNFk008667: from=<u13@h2.net>, size=3666, class=-60, nrcpts=1, msgid=<u14@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:30 c.mx.h2.net sm-mta[8682]: jB88DNFk008667: to=<u32@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231666, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DNJD032134 Message accepted for delivery) 
Jan  5 00:13:30 c.mx.h2.net sm-mta[8668]: jB88DN5P008668: from=<u13@h2.net>, size=2508, class=-60, nrcpts=1, msgid=<u16@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:30 c.mx.h2.net sm-mta[8680]: jB88DN5P008668: to=<u33@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230508, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DNje007179 Message accepted for delivery) 
Jan  5 00:13:30 a.mx.h2.net sm-mta[12162]: jB88DN6Q012162: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u23@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:30 a.mx.h2.net sm-mta[12174]: jB88DN6Q012162: to=<u35@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DNxE007183 Message accepted for delivery) 
Jan  5 00:13:30 b.mx.h2.net sm-mta[8272]: jB88DNVN008272: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u36@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
Jan  5 00:13:30 d.mx.h2.net sm-mta[12754]: jB88DNtp012754: from=<u13@h2.net>, size=2348, class=-60, nrcpts=1, msgid=<u46@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
Jan  5 00:13:30 d.mx.h2.net sm-mta[12984]: jB88DVWO012984: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u55@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:30 d.mx.h2.net sm-mta[12993]: jB88DVWO012984: to=<u66@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVpe032692 Message accepted for delivery) 
Jan  5 00:13:30 a.mx.h2.net sm-mta[12409]: jB88DVTG012409: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u58@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:30 a.mx.h2.net sm-mta[12417]: jB88DVTG012409: to=<u74@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVIX032693 Message accepted for delivery) 
Jan  5 00:13:30 c.mx.h2.net sm-mta[8955]: jB88DVMY008955: from=<u13@h2.net>, size=1189, class=-60, nrcpts=1, msgid=<u65@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:30 c.mx.h2.net sm-mta[8963]: jB88DVMY008955: to=<u81@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229189, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVZn032722 Message accepted for delivery) 
Jan  5 00:13:30 c.mx.h2.net sm-mta[8958]: jB88DVO6008958: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u80@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:30 c.mx.h2.net sm-mta[8971]: jB88DVO6008958: to=<u94@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVDE008155 Message accepted for delivery) 
