Jan  5 00:13:30 c.mx.h2.net sm-mta[8667]: jB88DNFk008667: from=<u13@h2.net>, size=3666, cl
**** Jan  5 00:13:30 c.mx.h2.net sm-mta[8682]: jB88DNFk008667: to=<u32@h2.net>, delay=00:00:00,
Jan  5 00:13:30 c.mx.h2.net sm-mta[8668]: jB88DN5P008668: from=<u13@h2.net>, size=2508, cl
**** Jan  5 00:13:30 c.mx.h2.net sm-mta[8680]: jB88DN5P008668: to=<u33@h2.net>, delay=00:00:00,
Jan  5 00:13:30 a.mx.h2.net sm-mta[12162]: jB88DN6Q012162: from=<u13@h2.net>, size=1201, c
**** Jan  5 00:13:30 a.mx.h2.net sm-mta[12174]: jB88DN6Q012162: to=<u35@h2.net>, delay=00:00:00
Jan  5 00:13:30 b.mx.h2.net sm-mta[8272]: jB88DNVN008272: from=<u13@h2.net>, size=1195, cl
Jan  5 00:13:30 d.mx.h2.net sm-mta[12754]: jB88DNtp012754: from=<u13@h2.net>, size=2348, c
Jan  5 00:13:30 d.mx.h2.net sm-mta[12984]: jB88DVWO012984: from=<u13@h2.net>, size=1201, c
**** Jan  5 00:13:30 d.mx.h2.net sm-mta[12993]: jB88DVWO012984: to=<u66@h2.net>, delay=00:00:00
Jan  5 00:13:30 a.mx.h2.net sm-mta[12409]: jB88DVTG012409: from=<u13@h2.net>, size=1201, c
**** Jan  5 00:13:30 a.mx.h2.net sm-mta[12417]: jB88DVTG012409: to=<u74@h2.net>, delay=00:00:00
Jan  5 00:13:30 c.mx.h2.net sm-mta[8955]: jB88DVMY008955: from=<u13@h2.net>, size=1189, cl
**** Jan  5 00:13:30 c.mx.h2.net sm-mta[8963]: jB88DVMY008955: to=<u81@h2.net>, delay=00:00:00,
Jan  5 00:13:30 c.mx.h2.net sm-mta[8958]: jB88DVO6008958: from=<u13@h2.net>, size=1278, cl
**** Jan  5 00:13:30 c.mx.h2.net sm-mta[8971]: jB88DVO6008958: to=<u94@h2.net>, delay=00:00:00,
Jan  5 00:13:30 d.mx.h2.net sm-mta[12997]: jB88DV7b012997: from=<u13@h2.net>, size=1195, c
**** Jan  5 00:13:30 d.mx.h2.net sm-mta[13004]: jB88DV7b012997: to=<u103@h2.net>, delay=00:00:0
Jan  5 00:13:30 c.mx.h2.net sm-mta[8972]: jB88DVUZ008972: from=<u13@h2.net>, size=1186, cl
**** Jan  5 00:13:30 c.mx.h2.net sm-mta[8977]: jB88DVUZ008972: to=<u102@h2.net>, delay=00:00:00
Jan  5 00:13:30 b.mx.h2.net sm-mta[8463]: jB88DVtQ008463: from=<u13@h2.net>, size=1603, cl
Jan  5 00:13:30 b.mx.h2.net sm-mta[8466]: jB88DVYC008466: from=<u13@h2.net>, size=6592, cl
Jan  5 00:13:30 a.mx.h2.net sm-mta[12427]: jB88DVcO012427: from=<u13@h2.net>, size=1201, c
